Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-03-29 00:00:56,40.55,0.0,7.61,0.0,35.28,38.78,0.0
2018-03-29 01:00:56,37.19,0.0,6.86,0.0,21.03,22.27,0.0
2018-03-29 02:00:56,23.65,0.0,6.75,0.0,18.24,18.91,0.0
2018-03-29 03:00:56,15.26,0.0,6.62,0.0,23.5,23.65,0.0
2018-03-29 04:00:56,10.0,0.0,8.13,0.0,20.04,20.27,0.0
2018-03-29 05:00:56,8.71,0.0,6.3,0.0,13.91,13.87,0.0
2018-03-29 06:00:56,8.02,0.0,8.18,0.0,21.07,21.64,0.0
2018-03-29 07:00:56,7.16,0.0,6.08,0.0,18.27,18.32,0.0
2018-03-29 08:00:56,6.58,0.0,4.15,0.0,13.09,13.04,0.0
2018-03-29 09:00:56,5.23,0.0,4.86,0.0,27.39,29.57,0.0
2018-03-29 10:00:56,5.62,0.0,3.25,0.0,34.26,38.76,0.0
2018-03-29 11:00:56,7.97,0.0,4.22,0.0,18.27,19.76,0.0
2018-03-29 12:00:56,9.42,0.0,3.99,0.0,28.12,31.68,0.0
2018-03-29 13:00:56,9.81,0.0,2.85,0.0,28.07,33.1,0.0
2018-03-29 14:00:56,11.3,0.0,3.41,0.0,33.73,40.79,0.0
2018-03-29 15:00:56,11.75,0.0,2.83,0.0,36.08,42.13,0.0
2018-03-29 16:00:56,13.56,0.0,2.53,0.0,33.53,37.88,0.0
2018-03-29 17:00:56,14.39,0.0,2.91,0.0,36.48,41.02,0.0
2018-03-29 18:00:56,13.23,0.0,2.86,0.0,36.54,40.19,0.0
2018-03-29 19:00:56,13.97,0.0,2.37,0.0,46.65,52.58,0.0
2018-03-29 20:00:56,17.36,0.0,3.04,0.0,50.21,56.61,0.0
2018-03-29 21:00:56,20.99,0.0,2.47,0.0,41.67,46.36,0.0
2018-03-29 22:00:56,23.98,0.0,6.06,0.0,37.32,39.42,0.0
2018-03-29 23:00:56,25.93,0.0,54.74,0.0,34.54,35.06,0.0
2018-03-30 00:00:56,29.02,0.0,45.19,0.0,31.57,33.01,0.0
2018-03-30 01:00:56,33.49,0.0,17.13,0.0,24.73,25.79,0.0
2018-03-30 02:00:56,33.52,0.0,9.62,0.0,21.33,21.27,0.0
2018-03-30 03:00:56,47.09,0.0,5.99,0.0,24.43,25.04,0.0
2018-03-30 04:00:56,50.75,0.0,4.44,0.0,16.94,16.58,0.0
2018-03-30 05:00:56,30.93,0.0,3.46,0.0,15.36,14.51,0.0
2018-03-30 06:00:56,25.11,0.0,2.55,0.0,15.59,15.15,0.0
2018-03-30 07:00:56,29.12,0.0,2.86,0.0,30.06,30.17,0.0
2018-03-30 08:00:56,36.94,0.0,2.28,0.0,49.16,52.49,0.0
2018-03-30 09:00:56,43.35,0.0,2.13,0.0,30.6,36.25,0.0
2018-03-30 10:00:56,34.87,0.0,5.69,0.0,26.89,33.06,0.0
2018-03-30 11:00:56,32.07,0.0,8.76,0.0,26.53,32.58,0.0
2018-03-30 12:00:56,42.18,0.0,14.8,0.0,17.2,22.83,0.0
2018-03-30 13:00:56,42.52,0.0,29.37,0.0,35.77,46.01,0.0
2018-03-30 14:00:56,72.55,0.0,51.07,0.0,58.68,66.78,0.0
2018-03-30 15:00:56,84.26,0.0,25.52,0.0,20.46,22.72,0.0
2018-03-30 16:00:56,33.42,0.0,21.15,0.0,19.81,21.56,0.0
2018-03-30 17:00:56,22.59,0.0,17.4,0.0,19.15,20.65,0.0
2018-03-30 18:00:56,22.37,0.0,5.65,0.0,13.55,14.14,0.0
2018-03-30 19:00:56,22.96,0.0,43.45,0.0,26.17,27.78,0.0
2018-03-30 20:00:56,27.76,0.0,43.18,0.0,45.71,47.69,0.0
2018-03-30 21:00:56,40.28,0.0,13.94,0.0,81.48,92.82,0.0
2018-03-30 22:00:56,66.52,0.0,13.67,0.0,88.85,125.62,0.0
2018-03-30 23:00:56,78.37,0.0,7.92,0.0,66.2,92.39,0.0
2018-03-31 00:00:56,69.76,0.0,7.24,0.0,69.96,94.93,0.0
2018-03-31 01:00:56,68.89,0.0,3.83,0.0,58.72,93.06,0.0
2018-03-31 02:00:56,66.6,0.0,2.86,0.0,56.49,104.81,0.0
2018-03-31 03:00:56,57.19,0.0,2.73,0.0,50.56,72.34,0.0
2018-03-31 04:00:56,54.04,0.0,2.01,0.0,40.89,51.75,0.0
2018-03-31 05:00:56,46.39,0.0,1.18,0.0,40.01,52.14,0.0
2018-03-31 06:00:56,41.07,0.0,1.37,0.0,36.12,44.74,0.0
2018-03-31 07:00:56,37.78,0.0,1.21,0.0,33.73,42.53,0.0
2018-03-31 08:00:56,35.01,0.0,0.74,0.0,29.54,36.85,0.0
2018-03-31 09:00:56,38.39,0.0,1.42,0.0,39.31,86.31,0.0
2018-03-31 10:00:56,51.2,0.0,3.37,0.0,45.8,111.14,0.0
2018-03-31 11:00:56,95.58,0.0,60.77,0.0,68.91,130.86,0.0
2018-03-31 12:00:56,122.3,0.0,101.08,0.0,72.92,114.82,0.0
2018-03-31 13:00:56,112.72,0.0,101.11,0.0,75.51,99.83,0.0
2018-03-31 14:00:56,97.33,0.0,75.15,0.0,47.51,59.3,0.0
2018-03-31 15:00:56,54.22,0.0,29.36,0.0,30.5,38.57,0.0
2018-03-31 16:00:56,42.23,0.0,44.39,0.0,31.58,39.38,0.0
2018-03-31 17:00:56,44.59,0.0,78.15,0.0,36.94,44.56,0.0
2018-03-31 18:00:56,48.13,0.0,53.52,0.0,36.08,41.21,0.0
2018-03-31 19:00:56,44.4,0.0,30.5,0.0,24.46,28.47,0.0
2018-03-31 20:00:56,34.57,0.0,16.22,0.0,37.77,46.32,0.0
2018-03-31 21:00:56,56.3,0.0,18.76,0.0,104.38,273.06,0.0
2018-03-31 22:00:56,94.08,0.0,16.77,0.0,0.0,453.04,0.0
2018-03-31 23:00:56,109.59,0.0,12.68,0.0,78.45,194.97,0.0
2018-04-01 00:00:56,104.03,0.0,11.26,0.0,66.44,145.58,0.0
2018-04-01 01:00:56,86.88,0.0,9.41,0.0,53.78,84.03,0.0
2018-04-01 02:00:56,57.93,0.0,11.36,0.0,52.29,71.86,0.0
2018-04-01 03:00:56,42.18,0.0,31.3,0.0,44.01,68.52,0.0
2018-04-01 04:00:56,36.39,0.0,29.03,0.0,23.1,29.35,0.0
2018-04-01 05:00:56,25.99,0.0,19.09,0.0,27.03,28.28,0.0
2018-04-01 06:00:56,22.12,0.0,12.16,0.0,34.2,36.55,0.0
2018-04-01 07:00:56,25.15,0.0,13.34,0.0,22.76,23.51,0.0
2018-04-01 08:00:56,23.85,0.0,12.47,0.0,28.48,31.85,0.0
2018-04-01 09:00:56,21.11,0.0,15.68,0.0,24.21,27.14,0.0
2018-04-01 10:00:56,20.11,0.0,11.28,0.0,27.56,31.58,0.0
2018-04-01 11:00:56,19.92,0.0,9.62,0.0,20.19,23.24,0.0
2018-04-01 12:00:56,17.72,0.0,9.82,0.0,15.4,17.38,0.0
2018-04-01 13:00:56,19.99,0.0,12.53,0.0,7.0,7.4,0.0
2018-04-01 14:00:56,22.98,0.0,9.29,0.0,7.68,8.09,0.0
2018-04-01 15:00:56,18.59,0.0,12.33,0.0,6.74,7.41,0.0
2018-04-01 16:00:56,14.11,0.0,3.86,0.0,6.9,8.42,0.0
2018-04-01 17:00:56,13.15,0.0,2.94,0.0,5.82,6.78,0.0
2018-04-01 18:00:56,22.79,0.0,2.33,0.0,5.88,6.35,0.0
2018-04-01 19:00:56,32.18,0.0,2.96,0.0,7.3,7.73,0.0
2018-04-01 20:00:56,32.59,0.0,3.35,0.0,9.07,9.1,0.0
2018-04-01 21:00:56,31.08,0.0,3.86,0.0,16.0,16.51,0.0
2018-04-01 22:00:56,29.26,0.0,5.1,0.0,18.34,18.94,0.0
2018-04-01 23:00:56,26.62,0.0,6.46,0.0,19.92,21.13,0.0
2018-04-02 00:00:56,20.84,0.0,7.11,0.0,14.85,14.92,0.0
2018-04-02 01:00:56,19.0,0.0,8.19,0.0,14.36,14.08,0.0
2018-04-02 02:00:56,26.03,0.0,9.6,0.0,15.85,15.57,0.0
2018-04-02 03:00:56,28.64,0.0,6.02,0.0,15.63,15.39,0.0
2018-04-02 04:00:56,18.42,0.0,4.76,0.0,9.9,9.29,0.0
2018-04-02 05:00:56,11.79,0.0,3.87,0.0,6.33,5.5,0.0
2018-04-02 06:00:56,7.12,0.0,3.39,0.0,5.56,4.8,0.0
2018-04-02 07:00:56,2.91,0.0,3.15,0.0,12.94,12.36,0.0
2018-04-02 08:00:56,2.9,0.0,2.67,0.0,10.57,9.93,0.0
2018-04-02 09:00:56,5.8,0.0,2.53,0.0,26.01,27.45,0.0
2018-04-02 10:00:56,9.68,0.0,3.99,0.0,28.91,33.66,0.0
2018-04-02 11:00:56,16.38,0.0,9.41,0.0,22.62,26.56,0.0
2018-04-02 12:00:56,18.27,0.0,10.71,0.0,23.02,28.48,0.0
2018-04-02 13:00:56,15.16,0.0,4.42,0.0,14.38,18.33,0.0
2018-04-02 14:00:56,15.38,0.0,2.01,0.0,12.83,16.09,0.0
2018-04-02 15:00:56,14.61,0.0,1.39,0.0,10.94,13.22,0.0
2018-04-02 16:00:56,12.61,0.0,1.47,0.0,11.43,13.76,0.0
2018-04-02 17:00:56,9.62,0.0,2.02,0.0,11.9,13.99,0.0
2018-04-02 18:00:56,11.01,0.0,0.82,0.0,13.49,15.33,0.0
2018-04-02 19:00:56,15.42,0.0,1.73,0.0,19.61,21.87,0.0
2018-04-02 20:00:56,18.87,0.0,2.59,0.0,28.77,31.3,0.0
2018-04-02 21:00:56,23.55,0.0,1.83,0.0,46.31,48.88,0.0
2018-04-02 22:00:56,23.73,0.0,14.41,0.0,48.06,52.65,0.0
2018-04-02 23:00:56,33.54,0.0,4.6,0.0,44.16,53.76,0.0
2018-04-03 00:00:56,45.28,0.0,4.7,0.0,43.1,47.33,0.0
2018-04-03 01:00:56,43.0,0.0,3.55,0.0,52.95,87.51,0.0
2018-04-03 02:00:56,39.88,0.0,8.85,0.0,46.88,51.51,0.0
2018-04-03 03:00:56,36.87,0.0,6.92,0.0,43.67,54.67,0.0
2018-04-03 04:00:56,29.0,0.0,3.27,0.0,30.67,33.4,0.0
2018-04-03 05:00:56,25.48,0.0,4.37,0.0,32.1,33.39,0.0
2018-04-03 06:00:56,33.13,0.0,6.16,0.0,44.16,59.02,0.0
2018-04-03 07:00:56,33.99,0.0,3.19,0.0,37.23,48.28,0.0
2018-04-03 08:00:56,29.63,0.0,1.93,0.0,34.1,43.53,0.0
2018-04-03 09:00:56,35.03,0.0,2.49,0.0,38.74,95.12,0.0
2018-04-03 10:00:56,50.56,0.0,10.58,0.0,45.44,95.69,0.0
2018-04-03 11:00:56,56.36,0.0,31.4,0.0,50.32,77.07,0.0
2018-04-03 12:00:56,67.5,0.0,70.24,0.0,92.28,127.95,0.0
2018-04-03 13:00:56,92.33,0.0,22.72,0.0,35.06,41.45,0.0
2018-04-03 14:00:56,61.64,0.0,10.65,0.0,15.6,17.33,0.0
2018-04-03 15:00:56,11.84,0.0,6.97,0.0,13.97,15.25,0.0
2018-04-03 16:00:56,12.07,0.0,5.83,0.0,12.04,12.61,0.0
2018-04-03 17:00:56,14.82,0.0,6.36,0.0,14.14,15.91,0.0
2018-04-03 18:00:56,18.43,0.0,14.51,0.0,13.18,13.8,0.0
2018-04-03 19:00:56,20.72,0.0,13.48,0.0,16.06,16.92,0.0
2018-04-03 20:00:56,24.61,0.0,40.28,0.0,24.19,24.97,0.0
2018-04-03 21:00:56,29.67,0.0,109.0,0.0,47.25,48.0,0.0
2018-04-03 22:00:56,39.64,0.0,15.44,0.0,60.95,65.13,0.0
2018-04-03 23:00:56,50.68,0.0,7.61,0.0,34.01,37.33,0.0
2018-04-04 00:00:56,45.62,0.0,5.83,0.0,44.77,49.84,0.0
2018-04-04 01:00:56,37.54,0.0,4.57,0.0,44.79,49.5,0.0
2018-04-04 02:00:56,42.71,0.0,3.69,0.0,55.94,64.7,0.0
2018-04-04 03:00:56,41.25,0.0,3.24,0.0,46.12,49.24,0.0
2018-04-04 04:00:56,34.3,0.0,6.27,0.0,37.96,39.02,0.0
2018-04-04 05:00:56,36.13,0.0,6.06,0.0,34.83,35.73,0.0
2018-04-04 06:00:56,35.51,0.0,3.13,0.0,25.21,26.01,0.0
2018-04-04 07:00:56,29.07,0.0,1.89,0.0,30.88,31.99,0.0
2018-04-04 08:00:56,27.32,0.0,1.45,0.0,29.29,30.64,0.0
2018-04-04 09:00:56,29.98,0.0,1.97,0.0,38.24,57.82,0.0
2018-04-04 10:00:56,53.42,0.0,6.03,0.0,48.37,92.34,0.0
2018-04-04 11:00:56,78.32,0.0,52.99,0.0,78.79,122.82,0.0
2018-04-04 12:00:56,113.54,0.0,143.3,0.0,87.35,123.19,0.0
2018-04-04 13:00:56,117.26,0.0,41.34,0.0,53.16,64.05,0.0
2018-04-04 14:00:56,66.95,0.0,37.1,0.0,31.42,36.46,0.0
2018-04-04 15:00:56,38.45,0.0,25.8,0.0,21.64,24.66,0.0
2018-04-04 16:00:56,20.25,0.0,44.79,0.0,24.35,27.62,0.0
2018-04-04 17:00:56,22.27,0.0,36.1,0.0,31.69,35.55,0.0
2018-04-04 18:00:56,24.16,0.0,25.84,0.0,21.58,23.8,0.0
2018-04-04 19:00:56,24.88,0.0,30.56,0.0,22.03,23.52,0.0
2018-04-04 20:00:56,31.19,0.0,99.62,0.0,35.24,36.87,0.0
2018-04-04 21:00:56,40.72,0.0,18.5,0.0,72.14,74.14,0.0
2018-04-04 22:00:56,56.41,0.0,23.78,0.0,72.77,79.05,0.0
2018-04-04 23:00:56,65.67,0.0,11.3,0.0,65.03,71.14,0.0
2018-04-05 00:00:56,72.74,0.0,15.67,0.0,85.64,109.86,0.0
2018-04-05 01:00:56,79.68,0.0,11.2,0.0,72.87,101.42,0.0
2018-04-05 02:00:56,72.5,0.0,14.32,0.0,64.12,75.06,0.0
2018-04-05 03:00:56,63.86,0.0,11.84,0.0,46.49,50.32,0.0
2018-04-05 04:00:56,60.22,0.0,7.76,0.0,50.73,103.68,0.0
2018-04-05 05:00:56,55.13,0.0,6.47,0.0,40.92,43.82,0.0
2018-04-05 06:00:56,47.27,0.0,6.01,0.0,39.94,47.12,0.0
2018-04-05 07:00:56,45.11,0.0,4.95,0.0,38.6,57.62,0.0
2018-04-05 08:00:56,40.03,0.0,3.45,0.0,31.28,36.85,0.0
2018-04-05 09:00:56,43.65,0.0,4.59,0.0,40.6,81.19,0.0
2018-04-05 10:00:56,62.86,0.0,28.49,0.0,48.16,93.58,0.0
2018-04-05 11:00:56,87.37,0.0,70.47,0.0,80.03,100.83,0.0
2018-04-05 12:00:56,115.25,0.0,68.96,0.0,116.34,149.89,0.0
2018-04-05 13:00:56,150.25,0.0,127.77,0.0,111.71,134.17,0.0
2018-04-05 14:00:56,128.34,0.0,134.02,0.0,48.38,55.52,0.0
2018-04-05 15:00:56,64.18,0.0,123.77,0.0,26.09,30.22,0.0
2018-04-05 16:00:56,39.32,0.0,79.29,0.0,30.0,34.14,0.0
2018-04-05 17:00:56,33.96,0.0,53.37,0.0,21.65,23.99,0.0
2018-04-05 18:00:56,25.14,0.0,39.37,0.0,23.21,25.83,0.0
2018-04-05 19:00:56,20.54,0.0,18.43,0.0,14.58,15.67,0.0
2018-04-05 20:00:56,24.86,0.0,20.73,0.0,41.92,44.07,0.0
2018-04-05 21:00:56,48.99,0.0,39.46,0.0,64.77,66.57,0.0
2018-04-05 22:00:56,75.59,0.0,44.72,0.0,71.32,78.23,0.0
2018-04-05 23:00:56,76.39,0.0,25.71,0.0,67.43,103.31,0.0
2018-04-06 00:00:56,74.45,0.0,22.41,0.0,73.29,120.29,0.0
2018-04-06 01:00:56,78.02,0.0,17.66,0.0,69.14,85.65,0.0
2018-04-06 02:00:56,73.11,0.0,14.3,0.0,63.0,101.71,0.0
2018-04-06 03:00:56,70.49,0.0,12.3,0.0,57.66,78.47,0.0
2018-04-06 04:00:56,63.88,0.0,8.87,0.0,49.65,61.51,0.0
2018-04-06 05:00:56,50.58,0.0,7.67,0.0,44.38,50.69,0.0
2018-04-06 06:00:56,45.57,0.0,6.69,0.0,39.63,45.47,0.0
2018-04-06 07:00:56,43.05,0.0,5.79,0.0,36.43,42.25,0.0
2018-04-06 08:00:56,38.87,0.0,5.52,0.0,36.55,40.84,0.0
2018-04-06 09:00:56,42.5,0.0,7.62,0.0,43.44,118.91,0.0
2018-04-06 10:00:56,62.65,0.0,26.1,0.0,61.93,205.02,0.0
2018-04-06 11:00:56,116.9,0.0,103.7,0.0,101.94,182.69,0.0
2018-04-06 12:00:56,164.6,0.0,47.88,0.0,66.33,74.66,0.0
2018-04-06 13:00:56,129.44,0.0,19.09,0.0,27.72,31.59,0.0
2018-04-06 14:00:56,63.43,0.0,18.41,0.0,26.67,31.17,0.0
2018-04-06 15:00:56,35.4,0.0,10.02,0.0,14.23,16.06,0.0
2018-04-06 16:00:56,24.81,0.0,9.26,0.0,14.73,17.22,0.0
2018-04-06 17:00:56,26.6,0.0,12.63,0.0,16.83,19.01,0.0
2018-04-06 18:00:56,42.71,0.0,16.96,0.0,33.59,38.79,0.0
2018-04-06 19:00:56,59.31,0.0,20.48,0.0,65.63,73.97,0.0
2018-04-06 20:00:56,69.52,0.0,24.89,0.0,81.89,88.77,0.0
2018-04-06 21:00:56,77.39,0.0,22.93,0.0,84.89,90.42,0.0
2018-04-06 22:00:56,70.31,0.0,34.14,0.0,72.87,76.41,0.0
2018-04-06 23:00:56,61.51,0.0,55.08,0.0,72.55,80.6,0.0
2018-04-07 00:00:56,169.46,0.0,76.33,0.0,108.93,141.95,0.0
2018-04-07 01:00:56,228.69,0.0,30.94,0.0,68.87,89.35,0.0
2018-04-07 02:00:56,131.79,0.0,21.66,0.0,66.58,85.96,0.0
2018-04-07 03:00:56,206.03,0.0,11.76,0.0,51.78,59.29,0.0
2018-04-07 04:00:56,199.26,0.0,8.24,0.0,40.92,46.01,0.0
2018-04-07 05:00:56,51.61,0.0,6.83,0.0,40.07,45.13,0.0
2018-04-07 06:00:56,45.31,0.0,5.32,0.0,35.06,38.76,0.0
2018-04-07 07:00:56,42.96,0.0,4.67,0.0,25.79,28.21,0.0
2018-04-07 08:00:56,43.59,0.0,4.28,0.0,24.94,27.48,0.0
2018-04-07 09:00:56,42.68,0.0,13.03,0.0,29.13,38.0,0.0
2018-04-07 10:00:56,48.13,0.0,18.09,0.0,27.58,35.83,0.0
2018-04-07 11:00:56,76.88,0.0,15.74,0.0,25.96,33.73,0.0
2018-04-07 12:00:56,89.03,0.0,14.8,0.0,29.81,39.03,0.0
2018-04-07 13:00:56,72.67,0.0,16.63,0.0,40.99,56.94,0.0
2018-04-07 14:00:56,91.61,0.0,16.07,0.0,34.47,43.87,0.0
2018-04-07 15:00:56,97.44,0.0,17.64,0.0,31.46,40.94,0.0
2018-04-07 16:00:56,79.8,0.0,11.64,0.0,26.55,38.2,0.0
2018-04-07 17:00:56,63.11,0.0,10.71,0.0,29.36,38.03,0.0
2018-04-07 18:00:56,53.44,0.0,8.6,0.0,35.19,41.87,0.0
2018-04-07 19:00:56,57.09,0.0,6.35,0.0,38.0,44.53,0.0
2018-04-07 20:00:56,61.67,0.0,7.56,0.0,51.04,60.48,0.0
2018-04-07 21:00:56,58.79,0.0,5.56,0.0,52.71,63.43,0.0
2018-04-07 22:00:56,55.55,0.0,4.55,0.0,43.83,55.56,0.0
2018-04-07 23:00:56,51.8,0.0,4.5,0.0,40.58,45.12,0.0
2018-04-08 00:00:56,52.67,0.0,3.92,0.0,64.04,86.31,0.0
2018-04-08 01:00:56,54.27,0.0,2.23,0.0,40.57,51.32,0.0
2018-04-08 02:00:56,49.58,0.0,4.13,0.0,37.54,46.15,0.0
2018-04-08 03:00:56,45.6,0.0,4.48,0.0,48.07,53.6,0.0
2018-04-08 04:00:56,54.83,0.0,7.3,0.0,46.93,50.69,0.0
2018-04-08 05:00:56,60.0,0.0,5.47,0.0,32.6,34.61,0.0
2018-04-08 06:00:56,63.39,0.0,5.04,0.0,24.32,25.62,0.0
2018-04-08 07:00:56,63.83,0.0,6.82,0.0,18.62,19.59,0.0
2018-04-08 08:00:56,55.56,0.0,10.07,0.0,17.42,18.19,0.0
2018-04-08 09:00:56,50.53,0.0,16.7,0.0,23.7,25.99,0.0
2018-04-08 10:00:56,56.9,0.0,14.52,0.0,24.86,27.73,0.0
2018-04-08 11:00:56,61.54,0.0,11.58,0.0,27.71,31.43,0.0
2018-04-08 12:00:56,53.47,0.0,8.48,0.0,26.36,31.17,0.0
2018-04-08 13:00:56,41.9,0.0,14.14,0.0,23.56,32.32,0.0
2018-04-08 14:00:56,50.18,0.0,15.4,0.0,17.39,23.69,0.0
2018-04-08 15:00:56,52.57,0.0,10.41,0.0,25.18,32.0,0.0
2018-04-08 16:00:56,53.83,0.0,11.45,0.0,21.2,23.84,0.0
2018-04-08 17:00:56,51.95,0.0,9.86,0.0,18.34,18.85,0.0
2018-04-08 18:00:56,42.43,0.0,7.72,0.0,27.06,27.94,0.0
2018-04-08 19:00:56,44.73,0.0,5.58,0.0,40.07,45.47,0.0
2018-04-08 20:00:56,47.51,0.0,5.2,0.0,45.57,51.89,0.0
2018-04-08 21:00:56,47.81,0.0,4.03,0.0,40.1,42.5,0.0
2018-04-08 22:00:56,43.36,0.0,3.04,0.0,43.2,48.83,0.0
2018-04-08 23:00:56,45.98,0.0,3.1,0.0,55.72,69.52,0.0
2018-04-09 00:00:56,48.29,0.0,2.89,0.0,42.42,49.17,0.0
2018-04-09 01:00:56,41.64,0.0,3.1,0.0,43.59,48.61,0.0
2018-04-09 02:00:56,39.27,0.0,3.18,0.0,37.66,41.53,0.0
2018-04-09 03:00:56,41.57,0.0,3.28,0.0,44.23,48.07,0.0
2018-04-09 04:00:56,46.1,0.0,3.09,0.0,37.09,40.1,0.0
2018-04-09 05:00:56,44.66,0.0,2.93,0.0,26.54,27.55,0.0
2018-04-09 06:00:56,47.01,0.0,1.74,0.0,40.46,45.91,0.0
2018-04-09 07:00:56,45.49,0.0,2.33,0.0,48.55,53.6,0.0
2018-04-09 08:00:56,40.1,0.0,2.61,0.0,36.75,43.26,0.0
2018-04-09 09:00:56,44.76,0.0,2.62,0.0,32.69,48.82,0.0
2018-04-09 10:00:56,54.21,0.0,7.79,0.0,28.0,40.81,0.0
2018-04-09 11:00:56,59.14,0.0,11.97,0.0,27.07,34.61,0.0
2018-04-09 12:00:56,54.64,0.0,13.89,0.0,18.77,25.63,0.0
2018-04-09 13:00:56,48.6,0.0,14.39,0.0,17.43,24.41,0.0
2018-04-09 14:00:56,48.13,0.0,17.9,0.0,30.62,37.72,0.0
2018-04-09 15:00:56,60.28,0.0,18.77,0.0,36.07,41.07,0.0
2018-04-09 16:00:56,63.58,0.0,19.97,0.0,23.45,28.03,0.0
2018-04-09 17:00:56,50.87,0.0,15.0,0.0,21.59,26.04,0.0
2018-04-09 18:00:56,42.55,0.0,11.56,0.0,20.87,24.08,0.0
2018-04-09 19:00:56,44.84,0.0,16.38,0.0,22.03,24.64,0.0
2018-04-09 20:00:56,45.94,0.0,13.23,0.0,29.95,31.66,0.0
2018-04-09 21:00:56,47.97,0.0,12.39,0.0,44.6,46.91,0.0
2018-04-09 22:00:56,62.49,0.0,11.35,0.0,68.9,79.19,0.0
2018-04-09 23:00:56,77.96,0.0,11.54,0.0,54.64,61.73,0.0
2018-04-10 00:00:56,76.95,0.0,11.37,0.0,64.93,92.96,0.0
2018-04-10 01:00:56,86.43,0.0,11.55,0.0,57.36,77.65,0.0
2018-04-10 02:00:56,89.21,0.0,8.34,0.0,50.76,77.05,0.0
2018-04-10 03:00:56,74.2,0.0,5.89,0.0,44.84,91.29,0.0
2018-04-10 04:00:56,65.88,0.0,5.53,0.0,35.41,44.86,0.0
2018-04-10 05:00:56,55.79,0.0,5.92,0.0,32.43,37.19,0.0
2018-04-10 06:00:56,56.79,0.0,4.71,0.0,27.35,0.0,0.0
2018-04-10 07:00:56,50.96,0.0,3.99,0.0,29.04,43.28,0.0
2018-04-10 08:00:56,45.62,0.0,3.74,0.0,29.38,45.09,0.0
2018-04-10 09:00:56,51.89,0.0,4.54,0.0,29.84,62.17,0.0
2018-04-10 10:00:56,64.91,0.0,26.8,0.0,42.95,128.73,0.0
2018-04-10 11:00:56,92.09,0.0,66.53,0.0,49.19,86.21,0.0
2018-04-10 12:00:56,96.61,0.0,44.91,0.0,55.43,84.49,0.0
2018-04-10 13:00:56,79.13,0.0,43.44,0.0,45.63,60.54,0.0
2018-04-10 14:00:56,67.63,0.0,50.96,0.0,35.94,43.07,0.0
2018-04-10 15:00:56,40.58,0.0,40.46,0.0,15.51,18.11,0.0
2018-04-10 16:00:56,25.27,0.0,30.57,0.0,16.41,19.13,0.0
2018-04-10 17:00:56,24.86,0.0,25.9,0.0,13.08,14.62,0.0
2018-04-10 18:00:56,20.52,0.0,8.92,0.0,9.2,9.59,0.0
2018-04-10 19:00:56,18.86,0.0,15.83,0.0,13.67,14.42,0.0
2018-04-10 20:00:56,33.6,0.0,15.92,0.0,46.11,49.01,0.0
2018-04-10 21:00:56,58.74,0.0,18.68,0.0,61.82,64.4,0.0
2018-04-10 22:00:56,61.93,0.0,57.88,0.0,60.97,62.95,0.0
2018-04-10 23:00:56,60.57,0.0,57.82,0.0,63.42,67.61,0.0
2018-04-11 00:00:56,68.18,0.0,19.91,0.0,61.9,68.99,0.0
2018-04-11 01:00:56,71.19,0.0,14.97,0.0,50.74,56.18,0.0
2018-04-11 02:00:56,70.99,0.0,26.42,0.0,61.91,86.93,0.0
2018-04-11 03:00:56,75.89,0.0,18.68,0.0,51.32,62.96,0.0
2018-04-11 04:00:56,68.47,0.0,11.67,0.0,53.08,67.59,0.0
2018-04-11 05:00:56,57.08,0.0,11.46,0.0,41.18,44.4,0.0
2018-04-11 06:00:56,55.8,0.0,13.3,0.0,33.41,34.9,0.0
2018-04-11 07:00:56,55.29,0.0,13.97,0.0,39.27,58.04,0.0
2018-04-11 08:00:56,58.21,0.0,11.27,0.0,38.04,59.68,0.0
2018-04-11 09:00:56,55.53,0.0,10.29,0.0,37.35,80.91,0.0
2018-04-11 10:00:56,61.87,0.0,16.64,0.0,41.6,97.57,0.0
2018-04-11 11:00:56,82.53,0.0,40.68,0.0,61.45,114.78,0.0
2018-04-11 12:00:56,102.89,0.0,68.41,0.0,79.29,104.5,0.0
2018-04-11 13:00:56,101.14,0.0,44.71,0.0,53.78,64.42,0.0
2018-04-11 14:00:56,96.46,0.0,50.33,0.0,85.58,98.1,0.0
2018-04-11 15:00:56,124.32,0.0,65.92,0.0,86.08,95.02,0.0
2018-04-11 16:00:56,153.86,0.0,83.12,0.0,82.94,90.32,0.0
2018-04-11 17:00:56,161.57,0.0,67.44,0.0,69.41,74.97,0.0
2018-04-11 18:00:56,110.79,0.0,40.39,0.0,32.91,35.81,0.0
2018-04-11 19:00:56,65.18,0.0,27.67,0.0,70.78,77.73,0.0
2018-04-11 20:00:56,81.26,0.0,22.46,0.0,78.47,84.28,0.0
2018-04-11 21:00:56,88.53,0.0,22.13,0.0,72.21,75.62,0.0
2018-04-11 22:00:56,87.33,0.0,18.43,0.0,99.77,117.1,0.0
2018-04-11 23:00:56,94.98,0.0,18.06,0.0,87.85,118.68,0.0
2018-04-12 00:00:56,107.93,0.0,15.26,0.0,69.88,109.6,0.0
2018-04-12 01:00:56,104.79,0.0,12.74,0.0,69.67,112.56,0.0
2018-04-12 02:00:56,90.8,0.0,10.42,0.0,62.61,97.78,0.0
